start_time,end_time,predicted_class,predicted_class_str
2025-06-30 16:49:54.253800,2025-06-30 16:50:04.253700,3,sleep
2025-06-30 16:49:59.253750,2025-06-30 16:50:09.253650,3,sleep
2025-06-30 16:50:04.253700,2025-06-30 16:50:14.253600,3,sleep
2025-06-30 16:50:09.253650,2025-06-30 16:50:19.253550,3,sleep
2025-06-30 16:50:14.253600,2025-06-30 16:50:24.253500,3,sleep
2025-06-30 16:50:19.253550,2025-06-30 16:50:29.253450,3,sleep
2025-06-30 16:50:24.253500,2025-06-30 16:50:34.253400,3,sleep
2025-06-30 16:50:29.253450,2025-06-30 16:50:39.253350,3,sleep
2025-06-30 16:50:34.253400,2025-06-30 16:50:44.253300,3,sleep
2025-06-30 16:50:39.253350,2025-06-30 16:50:49.253250,3,sleep
2025-06-30 16:50:44.253300,2025-06-30 16:50:54.253200,3,sleep
2025-06-30 16:50:49.253250,2025-06-30 16:50:59.253150,3,sleep
2025-06-30 16:50:54.253200,2025-06-30 16:51:04.253100,3,sleep
2025-06-30 16:50:59.253150,2025-06-30 16:51:09.253050,3,sleep
2025-06-30 16:51:04.253100,2025-06-30 16:51:14.253000,3,sleep
2025-06-30 16:51:09.253050,2025-06-30 16:51:19.252950,3,sleep
2025-06-30 16:51:14.253000,2025-06-30 16:51:24.252900,3,sleep
2025-06-30 16:51:19.252950,2025-06-30 16:51:29.252850,3,sleep
2025-06-30 16:51:24.252900,2025-06-30 16:51:34.252800,3,sleep
2025-06-30 16:51:29.252850,2025-06-30 16:51:39.252750,3,sleep
2025-06-30 16:51:34.252800,2025-06-30 16:51:44.252700,3,sleep
2025-06-30 16:51:39.252750,2025-06-30 16:51:49.252650,3,sleep
2025-06-30 16:51:44.252700,2025-06-30 16:51:54.252600,3,sleep
2025-06-30 16:51:49.252650,2025-06-30 16:51:59.252550,3,sleep
2025-06-30 16:51:54.252600,2025-06-30 16:52:04.252500,3,sleep
2025-06-30 16:51:59.252550,2025-06-30 16:52:09.252450,3,sleep
2025-06-30 16:52:04.252500,2025-06-30 16:52:14.252400,3,sleep
2025-06-30 16:52:09.252450,2025-06-30 16:52:19.252350,3,sleep
2025-06-30 16:52:14.252400,2025-06-30 16:52:24.252300,3,sleep
2025-06-30 16:52:19.252350,2025-06-30 16:52:29.252250,3,sleep
2025-06-30 16:52:24.252300,2025-06-30 16:52:34.252200,3,sleep
2025-06-30 16:52:29.252250,2025-06-30 16:52:39.252150,3,sleep
2025-06-30 16:52:34.252200,2025-06-30 16:52:44.252100,3,sleep
2025-06-30 16:52:39.252150,2025-06-30 16:52:49.252050,3,sleep
2025-06-30 16:52:44.252100,2025-06-30 16:52:54.252000,3,sleep
2025-06-30 16:52:49.252050,2025-06-30 16:52:59.251950,3,sleep
2025-06-30 16:52:54.252000,2025-06-30 16:53:04.251900,3,sleep
2025-06-30 16:52:59.251950,2025-06-30 16:53:09.251850,3,sleep
2025-06-30 16:53:04.251900,2025-06-30 16:53:14.251800,3,sleep
2025-06-30 16:53:09.251850,2025-06-30 16:53:19.251750,3,sleep
2025-06-30 16:53:14.251800,2025-06-30 16:53:24.251700,3,sleep
2025-06-30 16:53:19.251750,2025-06-30 16:53:29.251650,3,sleep
2025-06-30 16:53:24.251700,2025-06-30 16:53:34.251600,3,sleep
2025-06-30 16:53:29.251650,2025-06-30 16:53:39.251550,3,sleep
2025-06-30 16:53:34.251600,2025-06-30 16:53:44.251500,3,sleep
2025-06-30 16:53:39.251550,2025-06-30 16:53:49.251450,3,sleep
2025-06-30 16:53:44.251500,2025-06-30 16:53:54.251400,3,sleep
2025-06-30 16:53:49.251450,2025-06-30 16:53:59.251350,3,sleep
2025-06-30 16:53:54.251400,2025-06-30 16:54:04.251300,3,sleep
2025-06-30 16:53:59.251350,2025-06-30 16:54:09.251250,3,sleep
2025-06-30 16:54:04.251300,2025-06-30 16:54:14.251200,3,sleep
2025-06-30 16:54:09.251250,2025-06-30 16:54:19.251150,3,sleep
2025-06-30 16:54:14.251200,2025-06-30 16:54:24.251100,3,sleep
2025-06-30 16:54:19.251150,2025-06-30 16:54:29.251050,3,sleep
2025-06-30 16:54:24.251100,2025-06-30 16:54:34.251000,3,sleep
2025-06-30 16:54:29.251050,2025-06-30 16:54:39.250950,3,sleep
2025-06-30 16:54:34.251000,2025-06-30 16:54:44.250900,3,sleep
2025-06-30 16:54:39.250950,2025-06-30 16:54:49.250850,3,sleep
2025-06-30 16:54:44.250900,2025-06-30 16:54:54.250800,3,sleep
2025-06-30 16:54:49.250850,2025-06-30 16:54:59.250750,3,sleep
2025-06-30 16:54:54.250800,2025-06-30 16:55:04.250700,3,sleep
2025-06-30 16:54:59.250750,2025-06-30 16:55:09.250650,3,sleep
2025-06-30 16:55:04.250700,2025-06-30 16:55:14.250600,3,sleep
